WILL BUTLER;ANNA;2015
MANAU;LA TRIBU DE DANA;1998
RITA HOVINK;DOLORES;1976
ANOUK;DOMINIQUE;2015
CURE;A LETTER TO ELISE;1992
VELVET UNDERGROUND;LADY GODIVA’S OPERATION;1968
JERRY JAYE;MY GIRL JOSEPHINE;1966
SCISSOR SISTERS;LAURA;2004
ALIZEE;MOI... LOLITA;2000
SISTERS OF MERCY;MARIAN;1985
UB40;MADAME MEDUSA;1980
NEIL DIAMOND;CRACKLIN’ ROSIE;1970
