FRANK ZAPPA;BOBBY BROWN GOES DOWN;1979
FEEDER;BUCK ROGERS;2001
SOHN;CONRAD;2016
THE RAPSODY feat. Warren G & Sissel;PRINCE IGOR;1997
FOUR JACKS AND A JILL;MASTER JACK;1967
FINE YOUNG CANNIBALS;JOHNNY COME HOME;1985
MIREILLE MATHIEU;KLAUS;1972
BEASTIE BOYS;PAUL REVERE;1986
LORNE GREEN;RINGO;1964
WIGBERT;ROB;1991
THE KILLERS;SAMS TOWN;2006
GANGTHELABEL;WILLY NAESSENS;2016
