RO-D-YS;TAKE HER HOME;1967
DOORS;WILD CHILD;1969
LUCIFER;HOUSE FOR SALE;1975
HALL & OATES;RICH GIRL;1976
AL JARREAU;ROOF GARDEN;1981
BLANCMANGE;LIVING ON A CEILING;1982
KING OF THE SLUMS;GONE ALL WEIRDO;1991
GANG STARR;FULL CLIP;1999
THE RAPTURE;HOUSE OF JEALOUS LOVERS;2002
JOHN LEGEND;SAVE ROOM;2006
SENNE GUNS;NAGELSTUDIO;2011
WHISPERING SONS;WALL;2015
