THE SWANS;THE BOY WITH THE BEATLE HAIR;1963
THE WHO;BEHIND BLUE EYES;1971
VASELINES;MOLLY’s LIPS;1988
EQUAL IDIOTS;TOOTHPASTE JACKY;2018
TWO BROTHERS ON THE FOURTH FLOOR;COME TAKE MY HAND;1995
WIRE;KIDNEY BONGO’S;1988
BUCK OWENS (AND HIS BUCKAROOS);I’VE GOT A TIGER BY THE TAIL;1965
JENTINA;BAD ASS STRIPPA;2004
KING MISSILE;DETACHABLE PENIS;1992
REDBONE;(we were all wounded at) WOUNDED KNEE;1972
KASABIAN;CLUBFOOT;2004
QUEENS OF THE STONEAGE;FEET DON’T FAIL ME;2017
